Request Time,Type,Room,Timeslot,Status,
1,BOOK,1,09:30-11:00,0,
2,BOOK,1,15:30-17:00,0,
3,CANCEL,2,14:00-15:30,-3,
4,BOOK,3,12:30-14:00,0,
5,BOOK,5,08:00-09:30,0,
6,CANCEL,5,11:00-12:30,-3,
7,BOOK,4,17:00-18:30,0,
8,BOOK,5,15:30-17:00,0,
9,CANCEL,5,18:30-20:00,-3,
10,GET,,,0,"{('5', '15:30-17:00'), ('5', '08:00-09:30'), ('1', '15:30-17:00'), ('3', '12:30-14:00'), ('1', '09:30-11:00'), ('4', '17:00-18:30')}"
11,BOOK,5,14:00-15:30,0,
12,CANCEL,1,08:00-09:30,-3,
13,BOOK,3,18:30-20:00,0,
14,BOOK,3,17:00-18:30,0,
15,CANCEL,4,11:00-12:30,-3,
16,BOOK,5,11:00-12:30,0,
17,BOOK,2,12:30-14:00,0,
18,CANCEL,1,11:00-12:30,-3,
19,BOOK,3,11:00-12:30,0,
20,GET,,,0,"{('3', '17:00-18:30'), ('5', '15:30-17:00'), ('5', '08:00-09:30'), ('1', '15:30-17:00'), ('5', '14:00-15:30'), ('3', '12:30-14:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('2', '12:30-14:00'), ('5', '11:00-12:30'), ('3', '18:30-20:00'), ('4', '17:00-18:30')}"
21,CANCEL,2,15:30-17:00,-3,
22,BOOK,5,11:00-12:30,-1,
23,BOOK,4,17:00-18:30,-1,
24,CANCEL,5,15:30-17:00,-2,
25,BOOK,5,15:30-17:00,-1,
26,BOOK,3,18:30-20:00,-1,
27,CANCEL,2,17:00-18:30,-3,
28,BOOK,4,12:30-14:00,0,
29,BOOK,4,14:00-15:30,0,
30,GET,,,0,"{('3', '17:00-18:30'), ('4', '14:00-15:30'), ('5', '15:30-17:00'), ('5', '08:00-09:30'), ('1', '15:30-17:00'), ('5', '14:00-15:30'), ('3', '12:30-14:00'), ('4', '12:30-14:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('2', '12:30-14:00'), ('5', '11:00-12:30'), ('3', '18:30-20:00'), ('4', '17:00-18:30')}"
31,BOOK,4,15:30-17:00,0,
32,BOOK,4,18:30-20:00,0,
33,CANCEL,3,18:30-20:00,0,
34,BOOK,4,12:30-14:00,-1,
35,BOOK,3,11:00-12:30,-1,
36,CANCEL,5,14:00-15:30,0,
37,BOOK,4,14:00-15:30,-1,
38,BOOK,3,17:00-18:30,-1,
39,CANCEL,3,12:30-14:00,0,
40,GET,,,0,"{('3', '17:00-18:30'), ('4', '14:00-15:30'), ('5', '15:30-17:00'), ('5', '08:00-09:30'), ('1', '15:30-17:00'), ('4', '12:30-14:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('2', '12:30-14:00'), ('5', '11:00-12:30'), ('4', '18:30-20:00'), ('4', '17:00-18:30'), ('4', '15:30-17:00')}"
41,BOOK,4,15:30-17:00,-1,
42,CANCEL,5,09:30-11:00,-3,
43,BOOK,3,08:00-09:30,0,
44,BOOK,2,09:30-11:00,0,
45,CANCEL,1,08:00-09:30,-3,
46,BOOK,3,12:30-14:00,0,
47,BOOK,1,11:00-12:30,0,
48,CANCEL,3,12:30-14:00,-2,
49,BOOK,2,08:00-09:30,0,
50,GET,,,0,"{('3', '12:30-14:00'), ('2', '09:30-11:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('5', '11:00-12:30'), ('5', '15:30-17:00'), ('4', '12:30-14:00'), ('2', '08:00-09:30'), ('4', '18:30-20:00'), ('4', '15:30-17:00'), ('4', '14:00-15:30'), ('2', '12:30-14:00'), ('1', '11:00-12:30'), ('3', '17:00-18:30'), ('5', '08:00-09:30'), ('1', '15:30-17:00'), ('3', '08:00-09:30'), ('4', '17:00-18:30')}"
51,CANCEL,4,08:00-09:30,-3,
52,BOOK,1,15:30-17:00,-1,
53,BOOK,3,11:00-12:30,-1,
54,CANCEL,2,08:00-09:30,-2,
55,BOOK,1,09:30-11:00,-1,
56,BOOK,1,08:00-09:30,0,
57,CANCEL,1,08:00-09:30,-2,
58,BOOK,3,14:00-15:30,0,
59,BOOK,2,11:00-12:30,0,
60,GET,,,0,"{('3', '12:30-14:00'), ('2', '09:30-11:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('5', '11:00-12:30'), ('5', '15:30-17:00'), ('4', '12:30-14:00'), ('3', '14:00-15:30'), ('2', '08:00-09:30'), ('1', '08:00-09:30'), ('4', '18:30-20:00'), ('4', '15:30-17:00'), ('4', '14:00-15:30'), ('2', '12:30-14:00'), ('2', '11:00-12:30'), ('1', '11:00-12:30'), ('3', '17:00-18:30'), ('5', '08:00-09:30'), ('1', '15:30-17:00'), ('3', '08:00-09:30'), ('4', '17:00-18:30')}"
61,BOOK,2,08:00-09:30,-1,
62,BOOK,4,08:00-09:30,0,
63,CANCEL,2,11:00-12:30,-2,
64,BOOK,1,08:00-09:30,-1,
65,BOOK,3,09:30-11:00,0,
66,CANCEL,3,15:30-17:00,-3,
67,BOOK,4,08:00-09:30,-1,
68,BOOK,3,18:30-20:00,0,
69,CANCEL,5,08:00-09:30,0,
70,GET,,,0,"{('4', '08:00-09:30'), ('3', '12:30-14:00'), ('2', '09:30-11:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('5', '11:00-12:30'), ('3', '18:30-20:00'), ('5', '15:30-17:00'), ('4', '12:30-14:00'), ('3', '14:00-15:30'), ('2', '08:00-09:30'), ('1', '08:00-09:30'), ('4', '18:30-20:00'), ('4', '15:30-17:00'), ('4', '14:00-15:30'), ('3', '09:30-11:00'), ('2', '12:30-14:00'), ('2', '11:00-12:30'), ('1', '11:00-12:30'), ('3', '17:00-18:30'), ('1', '15:30-17:00'), ('3', '08:00-09:30'), ('4', '17:00-18:30')}"
71,BOOK,3,17:00-18:30,-1,
72,CANCEL,5,11:00-12:30,0,
73,BOOK,4,12:30-14:00,-1,
74,BOOK,1,15:30-17:00,-1,
75,CANCEL,1,08:00-09:30,-2,
76,BOOK,4,11:00-12:30,0,
77,BOOK,5,17:00-18:30,0,
78,CANCEL,4,15:30-17:00,0,
79,BOOK,2,15:30-17:00,0,
80,GET,,,0,"{('4', '08:00-09:30'), ('3', '12:30-14:00'), ('2', '09:30-11:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('3', '18:30-20:00'), ('5', '15:30-17:00'), ('4', '12:30-14:00'), ('3', '14:00-15:30'), ('4', '11:00-12:30'), ('2', '08:00-09:30'), ('1', '08:00-09:30'), ('4', '18:30-20:00'), ('4', '14:00-15:30'), ('3', '09:30-11:00'), ('2', '12:30-14:00'), ('2', '11:00-12:30'), ('1', '11:00-12:30'), ('5', '17:00-18:30'), ('3', '17:00-18:30'), ('2', '15:30-17:00'), ('1', '15:30-17:00'), ('3', '08:00-09:30'), ('4', '17:00-18:30')}"
81,CANCEL,3,14:00-15:30,0,
82,BOOK,5,17:00-18:30,-1,
83,BOOK,1,11:00-12:30,-1,
84,CANCEL,1,14:00-15:30,-3,
85,BOOK,1,11:00-12:30,-1,
86,BOOK,2,11:00-12:30,-1,
87,CANCEL,1,18:30-20:00,-3,
88,BOOK,2,08:00-09:30,-1,
89,BOOK,2,12:30-14:00,-1,
90,GET,,,0,"{('4', '08:00-09:30'), ('3', '12:30-14:00'), ('2', '09:30-11:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('3', '18:30-20:00'), ('5', '15:30-17:00'), ('4', '12:30-14:00'), ('4', '11:00-12:30'), ('2', '08:00-09:30'), ('1', '08:00-09:30'), ('4', '18:30-20:00'), ('4', '14:00-15:30'), ('3', '09:30-11:00'), ('2', '12:30-14:00'), ('2', '11:00-12:30'), ('1', '11:00-12:30'), ('5', '17:00-18:30'), ('3', '17:00-18:30'), ('2', '15:30-17:00'), ('1', '15:30-17:00'), ('3', '08:00-09:30'), ('4', '17:00-18:30')}"
91,BOOK,4,09:30-11:00,0,
92,BOOK,3,09:30-11:00,-1,
93,CANCEL,5,12:30-14:00,-3,
94,BOOK,5,15:30-17:00,-1,
95,BOOK,3,17:00-18:30,-1,
96,CANCEL,3,08:00-09:30,0,
97,BOOK,2,08:00-09:30,-1,
98,BOOK,4,17:00-18:30,-1,
99,CANCEL,2,09:30-11:00,0,
100,GET,,,0,"{('4', '08:00-09:30'), ('3', '12:30-14:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('3', '18:30-20:00'), ('5', '15:30-17:00'), ('4', '12:30-14:00'), ('4', '11:00-12:30'), ('2', '08:00-09:30'), ('1', '08:00-09:30'), ('4', '18:30-20:00'), ('4', '14:00-15:30'), ('3', '09:30-11:00'), ('2', '12:30-14:00'), ('2', '11:00-12:30'), ('1', '11:00-12:30'), ('4', '09:30-11:00'), ('5', '17:00-18:30'), ('3', '17:00-18:30'), ('2', '15:30-17:00'), ('1', '15:30-17:00'), ('4', '17:00-18:30')}"
101,BOOK,5,09:30-11:00,0,
102,CANCEL,2,09:30-11:00,-3,
103,BOOK,1,08:00-09:30,-1,
104,BOOK,2,12:30-14:00,-1,
105,CANCEL,1,12:30-14:00,-3,
106,BOOK,1,18:30-20:00,0,
107,BOOK,4,14:00-15:30,-1,
108,CANCEL,5,17:00-18:30,0,
109,BOOK,2,12:30-14:00,-1,
110,GET,,,0,"{('4', '08:00-09:30'), ('3', '12:30-14:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('3', '18:30-20:00'), ('5', '15:30-17:00'), ('4', '12:30-14:00'), ('4', '11:00-12:30'), ('2', '08:00-09:30'), ('1', '08:00-09:30'), ('4', '18:30-20:00'), ('4', '14:00-15:30'), ('5', '09:30-11:00'), ('3', '09:30-11:00'), ('2', '12:30-14:00'), ('2', '11:00-12:30'), ('1', '11:00-12:30'), ('4', '09:30-11:00'), ('1', '18:30-20:00'), ('3', '17:00-18:30'), ('2', '15:30-17:00'), ('1', '15:30-17:00'), ('4', '17:00-18:30')}"
111,CANCEL,4,17:00-18:30,0,
112,BOOK,5,08:00-09:30,0,
113,BOOK,5,08:00-09:30,-1,
114,CANCEL,4,11:00-12:30,0,
115,BOOK,1,18:30-20:00,-1,
116,BOOK,3,08:00-09:30,0,
117,CANCEL,5,09:30-11:00,-2,
118,BOOK,5,15:30-17:00,-1,
119,BOOK,3,15:30-17:00,0,
120,GET,,,0,"{('4', '08:00-09:30'), ('3', '12:30-14:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('3', '18:30-20:00'), ('3', '15:30-17:00'), ('5', '15:30-17:00'), ('4', '12:30-14:00'), ('2', '08:00-09:30'), ('1', '08:00-09:30'), ('4', '18:30-20:00'), ('4', '14:00-15:30'), ('5', '09:30-11:00'), ('3', '09:30-11:00'), ('2', '12:30-14:00'), ('2', '11:00-12:30'), ('1', '11:00-12:30'), ('4', '09:30-11:00'), ('1', '18:30-20:00'), ('3', '17:00-18:30'), ('2', '15:30-17:00'), ('1', '15:30-17:00'), ('5', '08:00-09:30'), ('3', '08:00-09:30')}"
121,BOOK,3,08:00-09:30,-1,
122,BOOK,4,09:30-11:00,-1,
123,CANCEL,1,14:00-15:30,-3,
124,BOOK,2,08:00-09:30,-1,
125,BOOK,4,08:00-09:30,-1,
126,CANCEL,4,18:30-20:00,0,
127,BOOK,4,12:30-14:00,-1,
128,BOOK,5,09:30-11:00,-1,
129,CANCEL,1,14:00-15:30,-3,
130,GET,,,0,"{('4', '08:00-09:30'), ('3', '12:30-14:00'), ('1', '09:30-11:00'), ('3', '11:00-12:30'), ('3', '18:30-20:00'), ('3', '15:30-17:00'), ('5', '15:30-17:00'), ('4', '12:30-14:00'), ('2', '08:00-09:30'), ('1', '08:00-09:30'), ('4', '14:00-15:30'), ('5', '09:30-11:00'), ('3', '09:30-11:00'), ('2', '12:30-14:00'), ('2', '11:00-12:30'), ('1', '11:00-12:30'), ('4', '09:30-11:00'), ('1', '18:30-20:00'), ('3', '17:00-18:30'), ('2', '15:30-17:00'), ('1', '15:30-17:00'), ('5', '08:00-09:30'), ('3', '08:00-09:30')}"
131,BOOK,1,15:30-17:00,-1,
132,CANCEL,3,09:30-11:00,0,
133,BOOK,2,18:30-20:00,0,
134,BOOK,2,09:30-11:00,0,
135,CANCEL,5,15:30-17:00,0,
136,BOOK,4,18:30-20:00,0,
137,BOOK,2,15:30-17:00,-1,
138,CANCEL,4,09:30-11:00,0,
139,BOOK,3,09:30-11:00,0,
