Request Time,Type,Room,Timeslot,Status,
1,BOOK,2,09:30-11:00,0,
2,BOOK,3,09:30-11:00,0,
3,CANCEL,4,18:30-20:00,-3,
4,BOOK,4,17:00-18:30,0,
5,BOOK,2,09:30-11:00,-1,
6,CANCEL,4,08:00-09:30,-3,
7,BOOK,4,17:00-18:30,-1,
8,BOOK,5,08:00-09:30,0,
9,CANCEL,4,14:00-15:30,-3,
10,GET,,,0,"{('5', '08:00-09:30'), ('4', '17:00-18:30'), ('3', '09:30-11:00'), ('2', '09:30-11:00')}"
11,BOOK,2,09:30-11:00,-1,
12,CANCEL,3,08:00-09:30,-3,
13,BOOK,1,08:00-09:30,0,
14,BOOK,5,08:00-09:30,-1,
15,CANCEL,4,12:30-14:00,-3,
16,BOOK,4,08:00-09:30,0,
17,BOOK,5,12:30-14:00,0,
18,CANCEL,4,18:30-20:00,-3,
19,BOOK,5,12:30-14:00,-1,
20,GET,,,0,"{('4', '08:00-09:30'), ('2', '09:30-11:00'), ('4', '17:00-18:30'), ('3', '09:30-11:00'), ('1', '08:00-09:30'), ('5', '08:00-09:30'), ('5', '12:30-14:00')}"
21,CANCEL,3,12:30-14:00,-3,
22,BOOK,2,18:30-20:00,0,
23,BOOK,3,08:00-09:30,0,
24,CANCEL,4,09:30-11:00,-3,
25,BOOK,2,14:00-15:30,0,
26,BOOK,1,15:30-17:00,0,
27,CANCEL,5,17:00-18:30,-3,
28,BOOK,5,12:30-14:00,-1,
29,BOOK,3,14:00-15:30,0,
30,GET,,,0,"{('4', '08:00-09:30'), ('2', '09:30-11:00'), ('4', '17:00-18:30'), ('3', '09:30-11:00'), ('1', '08:00-09:30'), ('2', '14:00-15:30'), ('1', '15:30-17:00'), ('3', '14:00-15:30'), ('5', '08:00-09:30'), ('5', '12:30-14:00'), ('2', '18:30-20:00'), ('3', '08:00-09:30')}"
31,BOOK,5,18:30-20:00,0,
32,BOOK,5,17:00-18:30,0,
33,CANCEL,5,08:00-09:30,0,
34,BOOK,4,12:30-14:00,0,
35,BOOK,4,17:00-18:30,-1,
36,CANCEL,2,15:30-17:00,-3,
37,BOOK,5,15:30-17:00,0,
38,BOOK,1,18:30-20:00,0,
39,CANCEL,5,09:30-11:00,-3,
40,GET,,,0,"{('5', '17:00-18:30'), ('4', '08:00-09:30'), ('2', '09:30-11:00'), ('5', '15:30-17:00'), ('4', '12:30-14:00'), ('4', '17:00-18:30'), ('3', '09:30-11:00'), ('5', '18:30-20:00'), ('1', '18:30-20:00'), ('1', '08:00-09:30'), ('2', '14:00-15:30'), ('1', '15:30-17:00'), ('3', '14:00-15:30'), ('5', '12:30-14:00'), ('2', '18:30-20:00'), ('3', '08:00-09:30')}"
41,BOOK,2,17:00-18:30,0,
42,CANCEL,3,18:30-20:00,-3,
43,BOOK,1,18:30-20:00,-1,
44,BOOK,1,14:00-15:30,0,
45,CANCEL,5,17:00-18:30,-2,
46,BOOK,2,11:00-12:30,0,
47,BOOK,5,12:30-14:00,-1,
48,CANCEL,1,12:30-14:00,-3,
49,BOOK,5,12:30-14:00,-1,
